,code,name
63,109070,컨버즈
137,069540,라이트론
182,065420,에스아이리소스
212,336060,유안타제5호스팩
260,050540,한국코퍼레이션
264,102210,해덕파워웨이
281,120780,전우정밀
285,309900,티티씨디펜스
287,354230,폭스소프트
358,015590,큐로
379,003280,흥아해운
384,083660,CSA 코스믹
387,065150,MP그룹
393,192410,감마누
394,217730,강스템바이오텍
418,038390,레드캡투어
422,014100,메디앙스
460,215600,신라젠
462,277480,신한제4호스팩
470,052770,아이톡시
495,330350,위더스제약
507,083470,이엠앤아이
532,033110,코너스톤네트웍스
536,204990,코썬바이오
543,043590,크로바하이텍
578,329050,구스앤홈
591,217320,썬테크
624,069620,대웅제약
683,012170,키위미디어그룹
705,299170,IBKS제10호스팩
721,065560,녹원씨엔아이
723,900100,뉴프라이드
739,060300,레드로버
743,169330,마크로밀엠브레인
751,148140,비디아이
779,058220,아리온
825,065620,제낙스
832,180400,캔서롭
854,038160,팍스넷
868,322970,무진메디
869,199290,바이오프로테크
876,251960,엠에프엠코리아
878,270020,이십일스토어
903,002070,남영비비안
939,021820,세원정공
950,140910,에이리츠
1069,195990,에이비프로바이오
1071,138360,에이씨티
1072,176440,에이치엔티
1134,056730,포스링크
1142,080720,한국유니온제약
1154,236030,씨알푸드
1221,005850,에스엘
1245,001420,태원물산
1268,335890,IBKS제11호스팩
1329,033200,모아텍
1339,054220,비츠로시스
1348,024830,세원물산
1351,048870,시너지이노베이션
1352,290520,신도기연
1365,121890,에스디시스템
1396,069330,유아이디
1426,182690,테라셈
1431,194510,파티게임즈
1458,271780,비엔에프코퍼레이션
1465,241510,이에스산업
1493,003090,대웅
1526,326030,에스케이바이오팜
1530,011690,유양디앤유
1531,088260,이리츠코크렙
1573,079190,EMW
1576,052260,SK바이오랜드
1590,035290,더블유에프엠
1610,065940,바이오빌
1637,115530,씨엔플러스
1653,080440,에스제이케이
1663,032790,엠젠플러스
1731,222810,한류AI센터
1732,039670,한류타임즈
1754,327970,케어룸의료산업
1792,282690,동아타이어
1797,330590,롯데리츠
1863,044180,KD
1912,149940,모다
1921,263920,블러썸엠앤씨
1976,086250,이노와이즈
1979,900110,이스트아시아홀딩스
2015,222110,팬젠
2018,141020,포티스
2041,223220,아이피몬스터
2099,003060,에이프로젠제약
2125,007630,폴루스바이오팜
2197,064520,바른전자
2244,353190,엔에이치스팩16호
2269,036260,이매진아시아
2286,111820,지와이커머스
2298,950160,코오롱티슈진
2312,016670,포비스티앤씨
2315,195440,퓨전
2328,066110,한프
2332,008800,행남사
2351,331660,한국미라클피플사
